participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.individual_choice,player.assigned_mpcr,player.round_payoff,player.round_data,player.chosen_round,group.id_in_subsession,group.total_contribution,group.individual_share,group.start_timestamp,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,eoqabyj7,SUB01,0,139,139,q,final,2025-11-05 01:34:15.074014,1,,,3067.0,2,,0.0,10,0.75,18.75,[],,8,25.0,,1762308346,1,3l53yrzn,,,,,0
2,uksq7auo,SUB03,0,139,139,q,final,2025-11-05 01:34:15.354032,1,,,2160.0,1,,0.0,9,0.9,22.6,[],,1,24.0,,1762308346,1,3l53yrzn,,,,,0
3,4fkx77ms,SUB02,0,139,139,q,final,2025-11-05 01:34:15.578318,1,,,2300.0,3,,0.0,5,0.3,12.5,[],,8,25.0,,1762308346,1,3l53yrzn,,,,,0
4,ftl5bwym,SUB05,0,139,139,q,final,2025-11-05 01:34:15.647570,1,,,2400.0,2,,0.0,9,0.3,9.7,[],,5,29.0,,1762308346,1,3l53yrzn,,,,,0
5,uupltivp,SUB06,0,139,139,q,final,2025-11-05 01:34:15.672011,1,,,3067.0,1,,0.0,10,0.75,18.75,[],,8,25.0,,1762308346,1,3l53yrzn,,,,,0
6,9c2l7wy6,SUB04,0,139,139,q,final,2025-11-05 01:34:16.029315,1,,,2000.0,3,,0.0,10,0.75,21.75,[],,5,29.0,,1762308346,1,3l53yrzn,,,,,0
7,lohs1j6r,SUB07,0,139,139,q,final,2025-11-05 01:34:16.159485,1,,,3067.0,2,,0.0,10,0.6,18.0,[],,6,30.0,,1762308346,1,3l53yrzn,,,,,0
8,9a0bijfx,SUB08,0,139,139,q,final,2025-11-05 01:34:16.291400,1,,,1800.0,3,,0.0,8,0.6,16.4,[],,1,24.0,,1762308346,1,3l53yrzn,,,,,0
9,rlzifwqr,SUB10,0,139,139,q,final,2025-11-05 01:34:16.393074,1,,,3147.0,3,,0.0,0,0.3,16.0,[],,7,20.0,,1762308346,1,3l53yrzn,,,,,0
10,1yjy0byt,SUB11,0,139,139,q,final,2025-11-05 01:34:16.608181,1,,,2160.0,1,,0.0,10,0.6,18.0,[],,6,30.0,,1762308346,1,3l53yrzn,,,,,0
11,h37e76fb,SUB13,0,139,139,q,final,2025-11-05 01:34:16.821054,1,,,3067.0,2,,0.0,7,0.3,10.2,[],,1,24.0,,1762308346,1,3l53yrzn,,,,,0
12,3ap1l500,SUB09,0,139,139,q,final,2025-11-05 01:34:16.834284,1,,,2300.0,1,,0.0,10,0.75,15.0,[],,7,20.0,,1762308346,1,3l53yrzn,,,,,0
13,bz7qn3h8,SUB14,0,139,139,q,final,2025-11-05 01:34:16.889912,1,,,3167.0,3,,0.0,10,0.6,18.0,[],,4,30.0,,1762308346,1,3l53yrzn,,,,,0
14,pbbjtbny,SUB12,0,139,139,q,final,2025-11-05 01:34:16.959550,1,,,2160.0,2,,0.0,10,0.75,15.0,[],,7,20.0,,1762308346,1,3l53yrzn,,,,,0
15,qhwjda1v,SUB15,0,139,139,q,final,2025-11-05 01:34:17.091695,1,,,2237.0,3,,0.0,9,0.3,9.7,[],,2,29.0,,1762308346,1,3l53yrzn,,,,,0
16,3ttjpmu8,SUB17,0,139,139,q,final,2025-11-05 01:34:17.383962,1,,,2000.0,1,,0.0,10,0.6,18.0,[],,3,30.0,,1762308346,1,3l53yrzn,,,,,0
17,lrhgkzbl,SUB16,0,139,139,q,final,2025-11-05 01:34:17.542182,1,,,2400.0,1,,0.0,10,0.75,21.75,[],,2,29.0,,1762308346,1,3l53yrzn,,,,,0
18,1s2tlr4i,SUB18,0,139,139,q,final,2025-11-05 01:34:17.695992,1,,,2700.0,2,,0.0,10,0.75,21.75,[],,2,29.0,,1762308346,1,3l53yrzn,,,,,0
19,k27jrc48,SUB19,0,139,139,q,final,2025-11-05 01:34:17.744570,1,,,2200.0,2,,0.0,10,0.6,18.0,[],,3,30.0,,1762308346,1,3l53yrzn,,,,,0
20,g895v2j1,SUB21,0,139,139,q,final,2025-11-05 01:34:17.841176,1,,,2840.0,2,,0.0,10,0.6,18.0,[],,4,30.0,,1762308346,1,3l53yrzn,,,,,0
21,sahpj75t,SUB22,0,139,139,q,final,2025-11-05 01:34:17.850137,1,,,3067.0,3,,0.0,10,0.6,18.0,[],,6,30.0,,1762308346,1,3l53yrzn,,,,,0
22,sbt1p89r,SUB20,0,139,139,q,final,2025-11-05 01:34:17.864551,1,,,2000.0,1,,0.0,10,0.75,21.75,[],,5,29.0,,1762308346,1,3l53yrzn,,,,,0
23,7lu9cwhp,SUB24,0,139,139,q,final,2025-11-05 01:34:17.875243,1,,,2200.0,1,,0.0,10,0.6,18.0,[],,4,30.0,,1762308346,1,3l53yrzn,,,,,0
24,ipqxkdwj,SUB23,0,139,139,q,final,2025-11-05 01:34:17.959461,1,,,2840.0,3,,0.0,10,0.6,18.0,[],,3,30.0,,1762308346,1,3l53yrzn,,,,,0
1,eoqabyj7,SUB01,0,139,139,q,final,2025-11-05 01:34:15.074014,1,,,3067.0,1,,0.0,10,0.6,18.0,[],,8,30.0,,1762308427,2,3l53yrzn,,,,,0
2,uksq7auo,SUB03,0,139,139,q,final,2025-11-05 01:34:15.354032,1,,,2160.0,2,,0.0,10,0.6,18.0,[],,4,30.0,,1762308427,2,3l53yrzn,,,,,0
3,4fkx77ms,SUB02,0,139,139,q,final,2025-11-05 01:34:15.578318,1,,,2300.0,3,,0.0,10,0.6,18.0,[],,3,30.0,,1762308427,2,3l53yrzn,,,,,0
4,ftl5bwym,SUB05,0,139,139,q,final,2025-11-05 01:34:15.647570,1,,,2400.0,3,,0.0,10,0.6,18.0,[],,8,30.0,,1762308427,2,3l53yrzn,,,,,0
5,uupltivp,SUB06,0,139,139,q,final,2025-11-05 01:34:15.672011,1,,,3067.0,1,,0.0,10,0.6,18.0,[],,1,30.0,,1762308427,2,3l53yrzn,,,,,0
6,9c2l7wy6,SUB04,0,139,139,q,final,2025-11-05 01:34:16.029315,1,,,2000.0,2,,0.0,10,0.75,15.0,[],,7,20.0,,1762308427,2,3l53yrzn,,,,,0
7,lohs1j6r,SUB07,0,139,139,q,final,2025-11-05 01:34:16.159485,1,,,3067.0,1,,0.0,10,0.6,18.0,[],,3,30.0,,1762308427,2,3l53yrzn,,,,,0
8,9a0bijfx,SUB08,0,139,139,q,final,2025-11-05 01:34:16.291400,1,,,1800.0,1,,0.0,8,0.3,10.4,[],,2,28.0,,1762308427,2,3l53yrzn,,,,,0
9,rlzifwqr,SUB10,0,139,139,q,final,2025-11-05 01:34:16.393074,1,,,3147.0,3,,0.0,0,0.3,16.0,[],,7,20.0,,1762308427,2,3l53yrzn,,,,,0
10,1yjy0byt,SUB11,0,139,139,q,final,2025-11-05 01:34:16.608181,1,,,2160.0,3,,0.0,10,0.6,18.0,[],,4,30.0,,1762308427,2,3l53yrzn,,,,,0
11,h37e76fb,SUB13,0,139,139,q,final,2025-11-05 01:34:16.821054,1,,,3067.0,3,,0.0,8,0.3,10.4,[],,6,28.0,,1762308427,2,3l53yrzn,,,,,0
12,3ap1l500,SUB09,0,139,139,q,final,2025-11-05 01:34:16.834284,1,,,2300.0,2,,0.0,10,0.75,21.0,[],,2,28.0,,1762308427,2,3l53yrzn,,,,,0
13,bz7qn3h8,SUB14,0,139,139,q,final,2025-11-05 01:34:16.889912,1,,,3167.0,1,,0.0,10,0.75,21.0,[],,6,28.0,,1762308427,2,3l53yrzn,,,,,0
14,pbbjtbny,SUB12,0,139,139,q,final,2025-11-05 01:34:16.959550,1,,,2160.0,2,,0.0,10,0.6,18.0,[],,3,30.0,,1762308427,2,3l53yrzn,,,,,0
15,qhwjda1v,SUB15,0,139,139,q,final,2025-11-05 01:34:17.091695,1,,,2237.0,1,,0.0,10,0.75,15.0,[],,7,20.0,,1762308427,2,3l53yrzn,,,,,0
16,3ttjpmu8,SUB17,0,139,139,q,final,2025-11-05 01:34:17.383962,1,,,2000.0,2,,0.0,10,0.6,18.0,[],,8,30.0,,1762308427,2,3l53yrzn,,,,,0
17,lrhgkzbl,SUB16,0,139,139,q,final,2025-11-05 01:34:17.542182,1,,,2400.0,1,,0.0,10,0.75,21.75,[],,5,29.0,,1762308427,2,3l53yrzn,,,,,0
18,1s2tlr4i,SUB18,0,139,139,q,final,2025-11-05 01:34:17.695992,1,,,2700.0,2,,0.0,10,0.75,21.0,[],,6,28.0,,1762308427,2,3l53yrzn,,,,,0
19,k27jrc48,SUB19,0,139,139,q,final,2025-11-05 01:34:17.744570,1,,,2200.0,3,,0.0,10,0.75,21.0,[],,2,28.0,,1762308427,2,3l53yrzn,,,,,0
20,g895v2j1,SUB21,0,139,139,q,final,2025-11-05 01:34:17.841176,1,,,2840.0,1,,0.0,10,0.6,18.0,[],,4,30.0,,1762308427,2,3l53yrzn,,,,,0
21,sahpj75t,SUB22,0,139,139,q,final,2025-11-05 01:34:17.850137,1,,,3067.0,2,,0.0,10,0.75,21.75,[],,5,29.0,,1762308427,2,3l53yrzn,,,,,0
22,sbt1p89r,SUB20,0,139,139,q,final,2025-11-05 01:34:17.864551,1,,,2000.0,3,,0.0,10,0.6,18.0,[],,1,30.0,,1762308427,2,3l53yrzn,,,,,0
23,7lu9cwhp,SUB24,0,139,139,q,final,2025-11-05 01:34:17.875243,1,,,2200.0,2,,0.0,10,0.6,18.0,[],,1,30.0,,1762308427,2,3l53yrzn,,,,,0
24,ipqxkdwj,SUB23,0,139,139,q,final,2025-11-05 01:34:17.959461,1,,,2840.0,3,,0.0,9,0.3,9.7,[],,5,29.0,,1762308427,2,3l53yrzn,,,,,0
1,eoqabyj7,SUB01,0,139,139,q,final,2025-11-05 01:34:15.074014,1,,,3067.0,3,,0.0,10,0.6,18.0,[],,4,30.0,,1762308474,3,3l53yrzn,,,,,0
2,uksq7auo,SUB03,0,139,139,q,final,2025-11-05 01:34:15.354032,1,,,2160.0,3,,0.0,10,0.6,18.0,[],,2,30.0,,1762308473,3,3l53yrzn,,,,,0
3,4fkx77ms,SUB02,0,139,139,q,final,2025-11-05 01:34:15.578318,1,,,2300.0,1,,0.0,10,0.6,18.0,[],,2,30.0,,1762308473,3,3l53yrzn,,,,,0
4,ftl5bwym,SUB05,0,139,139,q,final,2025-11-05 01:34:15.647570,1,,,2400.0,2,,0.0,10,0.6,18.0,[],,4,30.0,,1762308474,3,3l53yrzn,,,,,0
5,uupltivp,SUB06,0,139,139,q,final,2025-11-05 01:34:15.672011,1,,,3067.0,1,,0.0,10,0.6,18.0,[],,7,30.0,,1762308474,3,3l53yrzn,,,,,0
6,9c2l7wy6,SUB04,0,139,139,q,final,2025-11-05 01:34:16.029315,1,,,2000.0,3,,0.0,10,0.6,18.0,[],,7,30.0,,1762308474,3,3l53yrzn,,,,,0
7,lohs1j6r,SUB07,0,139,139,q,final,2025-11-05 01:34:16.159485,1,,,3067.0,2,,0.0,10,0.6,18.0,[],,7,30.0,,1762308474,3,3l53yrzn,,,,,0
8,9a0bijfx,SUB08,0,139,139,q,final,2025-11-05 01:34:16.291400,1,,,1800.0,1,,0.0,0,0.3,16.0,[],,5,20.0,,1762308474,3,3l53yrzn,,,,,0
9,rlzifwqr,SUB10,0,139,139,q,final,2025-11-05 01:34:16.393074,1,,,3147.0,1,,0.0,0,0.3,16.0,[],,8,20.0,,1762308474,3,3l53yrzn,,,,,0
10,1yjy0byt,SUB11,0,139,139,q,final,2025-11-05 01:34:16.608181,1,,,2160.0,3,,0.0,10,0.6,18.0,[],,3,30.0,,1762308473,3,3l53yrzn,,,,,0
11,h37e76fb,SUB13,0,139,139,q,final,2025-11-05 01:34:16.821054,1,,,3067.0,2,,0.0,10,0.6,18.0,[],,6,30.0,,1762308474,3,3l53yrzn,,,,,0
12,3ap1l500,SUB09,0,139,139,q,final,2025-11-05 01:34:16.834284,1,,,2300.0,3,,0.0,10,0.75,15.0,[],,8,20.0,,1762308474,3,3l53yrzn,,,,,0
13,bz7qn3h8,SUB14,0,139,139,q,final,2025-11-05 01:34:16.889912,1,,,3167.0,2,,0.0,10,0.6,18.0,[],,3,30.0,,1762308473,3,3l53yrzn,,,,,0
14,pbbjtbny,SUB12,0,139,139,q,final,2025-11-05 01:34:16.959550,1,,,2160.0,1,,0.0,9,0.3,9.7,[],,1,29.0,,1762308474,3,3l53yrzn,,,,,0
15,qhwjda1v,SUB15,0,139,139,q,final,2025-11-05 01:34:17.091695,1,,,2237.0,3,,0.0,10,0.6,18.0,[],,6,30.0,,1762308474,3,3l53yrzn,,,,,0
16,3ttjpmu8,SUB17,0,139,139,q,final,2025-11-05 01:34:17.383962,1,,,2000.0,1,,0.0,10,0.6,18.0,[],,6,30.0,,1762308474,3,3l53yrzn,,,,,0
17,lrhgkzbl,SUB16,0,139,139,q,final,2025-11-05 01:34:17.542182,1,,,2400.0,2,,0.0,10,0.75,21.75,[],,1,29.0,,1762308474,3,3l53yrzn,,,,,0
18,1s2tlr4i,SUB18,0,139,139,q,final,2025-11-05 01:34:17.695992,1,,,2700.0,1,,0.0,10,0.6,18.0,[],,4,30.0,,1762308474,3,3l53yrzn,,,,,0
19,k27jrc48,SUB19,0,139,139,q,final,2025-11-05 01:34:17.744570,1,,,2200.0,2,,0.0,10,0.6,18.0,[],,2,30.0,,1762308473,3,3l53yrzn,,,,,0
20,g895v2j1,SUB21,0,139,139,q,final,2025-11-05 01:34:17.841176,1,,,2840.0,2,,0.0,10,0.75,15.0,[],,8,20.0,,1762308474,3,3l53yrzn,,,,,0
21,sahpj75t,SUB22,0,139,139,q,final,2025-11-05 01:34:17.850137,1,,,3067.0,2,,0.0,10,0.75,15.0,[],,5,20.0,,1762308474,3,3l53yrzn,,,,,0
22,sbt1p89r,SUB20,0,139,139,q,final,2025-11-05 01:34:17.864551,1,,,2000.0,1,,0.0,10,0.6,18.0,[],,3,30.0,,1762308473,3,3l53yrzn,,,,,0
23,7lu9cwhp,SUB24,0,139,139,q,final,2025-11-05 01:34:17.875243,1,,,2200.0,3,,0.0,10,0.75,15.0,[],,5,20.0,,1762308474,3,3l53yrzn,,,,,0
24,ipqxkdwj,SUB23,0,139,139,q,final,2025-11-05 01:34:17.959461,1,,,2840.0,3,,0.0,10,0.75,21.75,[],,1,29.0,,1762308474,3,3l53yrzn,,,,,0
1,eoqabyj7,SUB01,0,139,139,q,final,2025-11-05 01:34:15.074014,1,,,3067.0,1,,0.0,10,0.6,18.0,[],,5,30.0,,1762308537,4,3l53yrzn,,,,,0
2,uksq7auo,SUB03,0,139,139,q,final,2025-11-05 01:34:15.354032,1,,,2160.0,2,,0.0,10,0.6,18.0,[],,4,30.0,,1762308537,4,3l53yrzn,,,,,0
3,4fkx77ms,SUB02,0,139,139,q,final,2025-11-05 01:34:15.578318,1,,,2300.0,2,,0.0,10,0.6,18.0,[],,2,30.0,,1762308537,4,3l53yrzn,,,,,0
4,ftl5bwym,SUB05,0,139,139,q,final,2025-11-05 01:34:15.647570,1,,,2400.0,2,,0.0,10,0.6,18.0,[],,1,30.0,,1762308537,4,3l53yrzn,,,,,0
5,uupltivp,SUB06,0,139,139,q,final,2025-11-05 01:34:15.672011,1,,,3067.0,1,,0.0,5,0.3,12.5,[],,8,25.0,,1762308537,4,3l53yrzn,,,,,0
6,9c2l7wy6,SUB04,0,139,139,q,final,2025-11-05 01:34:16.029315,1,,,2000.0,2,,0.0,10,0.75,15.0,[],,3,20.0,,1762308537,4,3l53yrzn,,,,,0
7,lohs1j6r,SUB07,0,139,139,q,final,2025-11-05 01:34:16.159485,1,,,3067.0,3,,0.0,10,0.6,18.0,[],,6,30.0,,1762308537,4,3l53yrzn,,,,,0
8,9a0bijfx,SUB08,0,139,139,q,final,2025-11-05 01:34:16.291400,1,,,1800.0,2,,0.0,10,0.6,18.0,[],,7,30.0,,1762308537,4,3l53yrzn,,,,,0
9,rlzifwqr,SUB10,0,139,139,q,final,2025-11-05 01:34:16.393074,1,,,3147.0,3,,0.0,0,0.3,16.0,[],,3,20.0,,1762308537,4,3l53yrzn,,,,,0
10,1yjy0byt,SUB11,0,139,139,q,final,2025-11-05 01:34:16.608181,1,,,2160.0,1,,0.0,10,0.6,18.0,[],,1,30.0,,1762308537,4,3l53yrzn,,,,,0
11,h37e76fb,SUB13,0,139,139,q,final,2025-11-05 01:34:16.821054,1,,,3067.0,3,,0.0,10,0.6,18.0,[],,1,30.0,,1762308537,4,3l53yrzn,,,,,0
12,3ap1l500,SUB09,0,139,139,q,final,2025-11-05 01:34:16.834284,1,,,2300.0,2,,0.0,10,0.6,18.0,[],,6,30.0,,1762308537,4,3l53yrzn,,,,,0
13,bz7qn3h8,SUB14,0,139,139,q,final,2025-11-05 01:34:16.889912,1,,,3167.0,1,,0.0,10,0.6,18.0,[],,4,30.0,,1762308537,4,3l53yrzn,,,,,0
14,pbbjtbny,SUB12,0,139,139,q,final,2025-11-05 01:34:16.959550,1,,,2160.0,2,,0.0,10,0.75,18.75,[],,8,25.0,,1762308537,4,3l53yrzn,,,,,0
15,qhwjda1v,SUB15,0,139,139,q,final,2025-11-05 01:34:17.091695,1,,,2237.0,3,,0.0,10,0.6,18.0,[],,7,30.0,,1762308537,4,3l53yrzn,,,,,0
16,3ttjpmu8,SUB17,0,139,139,q,final,2025-11-05 01:34:17.383962,1,,,2000.0,1,,0.0,10,0.6,18.0,[],,6,30.0,,1762308537,4,3l53yrzn,,,,,0
17,lrhgkzbl,SUB16,0,139,139,q,final,2025-11-05 01:34:17.542182,1,,,2400.0,1,,0.0,10,0.6,18.0,[],,2,30.0,,1762308537,4,3l53yrzn,,,,,0
18,1s2tlr4i,SUB18,0,139,139,q,final,2025-11-05 01:34:17.695992,1,,,2700.0,3,,0.0,10,0.75,18.75,[],,8,25.0,,1762308537,4,3l53yrzn,,,,,0
19,k27jrc48,SUB19,0,139,139,q,final,2025-11-05 01:34:17.744570,1,,,2200.0,1,,0.0,10,0.75,15.0,[],,3,20.0,,1762308537,4,3l53yrzn,,,,,0
20,g895v2j1,SUB21,0,139,139,q,final,2025-11-05 01:34:17.841176,1,,,2840.0,3,,0.0,10,0.6,18.0,[],,5,30.0,,1762308537,4,3l53yrzn,,,,,0
21,sahpj75t,SUB22,0,139,139,q,final,2025-11-05 01:34:17.850137,1,,,3067.0,3,,0.0,10,0.6,18.0,[],,4,30.0,,1762308537,4,3l53yrzn,,,,,0
22,sbt1p89r,SUB20,0,139,139,q,final,2025-11-05 01:34:17.864551,1,,,2000.0,2,,0.0,10,0.6,18.0,[],,5,30.0,,1762308537,4,3l53yrzn,,,,,0
23,7lu9cwhp,SUB24,0,139,139,q,final,2025-11-05 01:34:17.875243,1,,,2200.0,3,,0.0,10,0.6,18.0,[],,2,30.0,,1762308537,4,3l53yrzn,,,,,0
