participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.individual_choice,player.assigned_mpcr,player.round_payoff,player.round_data,player.chosen_round,group.id_in_subsession,group.total_contribution,group.individual_share,group.start_timestamp,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,z1uo1zbt,SUB13,0,130,130,q,final,2025-11-06 01:31:29.475360,1,,,2827.0,1,,0.0,0,,19.0,[],,5,15.0,,1762394508,1,8yy2qkta,,,,,0
12,wg1nqswx,SUB11,0,130,130,q,final,2025-11-06 01:31:29.547112,1,,,1160.0,3,,0.0,5,,14.6,[],,3,16.0,,1762394508,1,8yy2qkta,,,,,0
13,eepb6w7q,SUB12,0,130,130,q,final,2025-11-06 01:31:29.556896,1,,,1420.0,2,,0.0,5,,12.8,[],,2,13.0,,1762394508,1,8yy2qkta,,,,,0
14,0bauq57s,SUB14,0,130,130,q,final,2025-11-06 01:31:29.574062,1,,,2840.0,3,,0.0,10,,14.4,[],,8,24.0,,1762394508,1,8yy2qkta,,,,,0
15,ornxmczo,SUB15,0,130,130,q,final,2025-11-06 01:31:29.853907,1,,,2060.0,1,,0.0,5,,14.6,[],,3,16.0,,1762394508,1,8yy2qkta,,,,,0
16,379licab,SUB18,0,130,130,q,final,2025-11-06 01:31:30.139676,1,,,2400.0,3,,0.0,1,,16.8,[],,7,13.0,,1762394508,1,8yy2qkta,,,,,0
17,rwc1c3rg,SUB19,0,130,130,q,final,2025-11-06 01:31:30.206056,1,,,2867.0,1,,0.0,2,,15.8,[],,7,13.0,,1762394508,1,8yy2qkta,,,,,0
18,ncdnrrmm,SUB17,0,130,130,q,final,2025-11-06 01:31:30.406648,1,,,1560.0,2,,0.0,3,,17.8,[],,4,18.0,,1762394508,1,8yy2qkta,,,,,0
19,lf91ato0,SUB21,0,130,130,q,final,2025-11-06 01:31:30.494635,1,,,1720.0,1,,0.0,4,,13.8,[],,6,13.0,,1762394508,1,8yy2qkta,,,,,0
20,swui1l6y,SUB20,0,130,130,q,final,2025-11-06 01:31:30.511201,1,,,1640.0,2,,0.0,5,,12.8,[],,6,13.0,,1762394508,1,8yy2qkta,,,,,0
21,msyjc2fc,SUB24,0,130,130,q,final,2025-11-06 01:31:30.525365,1,,,2627.0,1,,0.0,5,,15.8,[],,4,18.0,,1762394508,1,8yy2qkta,,,,,0
22,76jexyoe,SUB22,0,130,130,q,final,2025-11-06 01:31:30.637905,1,,,960.0,3,,0.0,6,,11.8,[],,2,13.0,,1762394508,1,8yy2qkta,,,,,0
23,cfv0a3xx,SUB23,0,130,130,q,final,2025-11-06 01:31:30.697856,1,,,2187.0,2,,0.0,6,,13.6,[],,3,16.0,,1762394508,1,8yy2qkta,,,,,0
24,aksu5ilz,SUB16,0,130,130,q,final,2025-11-06 01:31:31.918566,1,,,1200.0,3,,0.0,4,,13.8,[],,6,13.0,,1762394508,1,8yy2qkta,,,,,0
1,88gufc8l,SUB01,0,130,130,q,final,2025-11-06 01:31:28.212864,1,,,2467.0,2,,0.0,6,,13.0,[],,1,15.0,,1762394559,2,8yy2qkta,,,,,0
2,jbm8h5vu,SUB02,0,130,130,q,final,2025-11-06 01:31:28.240161,1,,,1540.0,2,,0.0,0,,17.2,[],,6,12.0,,1762394559,2,8yy2qkta,,,,,0
3,ty08ylcn,SUB03,0,130,130,q,final,2025-11-06 01:31:28.345249,1,,,1534.0,3,,0.0,10,,7.2,[],,3,12.0,,1762394559,2,8yy2qkta,,,,,0
4,rduddbrf,SUB04,0,130,130,q,final,2025-11-06 01:31:28.447463,1,,,1480.0,3,,0.0,5,,12.2,[],,6,12.0,,1762394559,2,8yy2qkta,,,,,0
5,ujhg4w5p,SUB05,0,130,130,q,final,2025-11-06 01:31:28.622685,1,,,1360.0,1,,0.0,1,,18.0,[],,1,15.0,,1762394559,2,8yy2qkta,,,,,0
6,s0nvo3n4,SUB06,0,130,130,q,final,2025-11-06 01:31:28.834126,1,,,1820.0,1,,0.0,10,,12.6,[],,5,21.0,,1762394559,2,8yy2qkta,,,,,0
7,m9gazhzn,SUB07,0,130,130,q,final,2025-11-06 01:31:28.910035,1,,,2187.0,3,,0.0,8,,11.0,[],,1,15.0,,1762394559,2,8yy2qkta,,,,,0
8,v73s3o41,SUB08,0,130,130,q,final,2025-11-06 01:31:28.944550,1,,,1980.0,2,,0.0,0,,17.2,[],,3,12.0,,1762394559,2,8yy2qkta,,,,,0
9,kmw1w1uf,SUB10,0,130,130,q,final,2025-11-06 01:31:29.075555,1,,,1660.0,3,,0.0,10,,12.6,[],,5,21.0,,1762394559,2,8yy2qkta,,,,,0
10,7h6bzfks,SUB09,0,130,130,q,final,2025-11-06 01:31:29.203249,1,,,2260.0,1,,0.0,2,,15.2,[],,3,12.0,,1762394559,2,8yy2qkta,,,,,0
11,z1uo1zbt,SUB13,0,130,130,q,final,2025-11-06 01:31:29.475360,1,,,2827.0,3,,0.0,10,,15.6,[],,7,26.0,,1762394559,2,8yy2qkta,,,,,0
12,wg1nqswx,SUB11,0,130,130,q,final,2025-11-06 01:31:29.547112,1,,,1160.0,3,,0.0,5,,17.0,[],,8,20.0,,1762394559,2,8yy2qkta,,,,,0
13,eepb6w7q,SUB12,0,130,130,q,final,2025-11-06 01:31:29.556896,1,,,1420.0,2,,0.0,1,,21.6,[],,5,21.0,,1762394559,2,8yy2qkta,,,,,0
14,0bauq57s,SUB14,0,130,130,q,final,2025-11-06 01:31:29.574062,1,,,2840.0,2,,0.0,5,,12.8,[],,4,13.0,,1762394559,2,8yy2qkta,,,,,0
15,ornxmczo,SUB15,0,130,130,q,final,2025-11-06 01:31:29.853907,1,,,2060.0,1,,0.0,7,,10.2,[],,6,12.0,,1762394559,2,8yy2qkta,,,,,0
16,379licab,SUB18,0,130,130,q,final,2025-11-06 01:31:30.139676,1,,,2400.0,2,,0.0,2,,14.6,[],,2,11.0,,1762394559,2,8yy2qkta,,,,,0
17,rwc1c3rg,SUB19,0,130,130,q,final,2025-11-06 01:31:30.206056,1,,,2867.0,3,,0.0,2,,14.6,[],,2,11.0,,1762394559,2,8yy2qkta,,,,,0
18,ncdnrrmm,SUB17,0,130,130,q,final,2025-11-06 01:31:30.406648,1,,,1560.0,1,,0.0,5,,12.8,[],,4,13.0,,1762394559,2,8yy2qkta,,,,,0
19,lf91ato0,SUB21,0,130,130,q,final,2025-11-06 01:31:30.494635,1,,,1720.0,3,,0.0,3,,14.8,[],,4,13.0,,1762394559,2,8yy2qkta,,,,,0
20,swui1l6y,SUB20,0,130,130,q,final,2025-11-06 01:31:30.511201,1,,,1640.0,2,,0.0,10,,15.6,[],,7,26.0,,1762394559,2,8yy2qkta,,,,,0
21,msyjc2fc,SUB24,0,130,130,q,final,2025-11-06 01:31:30.525365,1,,,2627.0,1,,0.0,5,,17.0,[],,8,20.0,,1762394559,2,8yy2qkta,,,,,0
22,76jexyoe,SUB22,0,130,130,q,final,2025-11-06 01:31:30.637905,1,,,960.0,1,,0.0,7,,9.6,[],,2,11.0,,1762394559,2,8yy2qkta,,,,,0
23,cfv0a3xx,SUB23,0,130,130,q,final,2025-11-06 01:31:30.697856,1,,,2187.0,2,,0.0,10,,12.0,[],,8,20.0,,1762394559,2,8yy2qkta,,,,,0
24,aksu5ilz,SUB16,0,130,130,q,final,2025-11-06 01:31:31.918566,1,,,1200.0,1,,0.0,6,,19.6,[],,7,26.0,,1762394559,2,8yy2qkta,,,,,0
1,88gufc8l,SUB01,0,130,130,q,final,2025-11-06 01:31:28.212864,1,,,2467.0,3,,0.0,2,,17.6,[],,8,16.0,,1762394604,3,8yy2qkta,,,,,0
2,jbm8h5vu,SUB02,0,130,130,q,final,2025-11-06 01:31:28.240161,1,,,1540.0,1,,0.0,0,,11.8,[],,4,3.0,,1762394604,3,8yy2qkta,,,,,0
3,ty08ylcn,SUB03,0,130,130,q,final,2025-11-06 01:31:28.345249,1,,,1534.0,2,,0.0,3,,8.8,[],,4,3.0,,1762394604,3,8yy2qkta,,,,,0
4,rduddbrf,SUB04,0,130,130,q,final,2025-11-06 01:31:28.447463,1,,,1480.0,2,,0.0,6,,14.2,[],,3,17.0,,1762394604,3,8yy2qkta,,,,,0
5,ujhg4w5p,SUB05,0,130,130,q,final,2025-11-06 01:31:28.622685,1,,,1360.0,2,,0.0,6,,14.8,[],,1,18.0,,1762394604,3,8yy2qkta,,,,,0
6,s0nvo3n4,SUB06,0,130,130,q,final,2025-11-06 01:31:28.834126,1,,,1820.0,2,,0.0,10,,9.6,[],,8,16.0,,1762394604,3,8yy2qkta,,,,,0
7,m9gazhzn,SUB07,0,130,130,q,final,2025-11-06 01:31:28.910035,1,,,2187.0,2,,0.0,5,,17.6,[],,2,21.0,,1762394604,3,8yy2qkta,,,,,0
8,v73s3o41,SUB08,0,130,130,q,final,2025-11-06 01:31:28.944550,1,,,1980.0,3,,0.0,0,,11.8,[],,4,3.0,,1762394604,3,8yy2qkta,,,,,0
9,kmw1w1uf,SUB10,0,130,130,q,final,2025-11-06 01:31:29.075555,1,,,1660.0,3,,0.0,10,,12.6,[],,2,21.0,,1762394604,3,8yy2qkta,,,,,0
10,7h6bzfks,SUB09,0,130,130,q,final,2025-11-06 01:31:29.203249,1,,,2260.0,1,,0.0,1,,17.4,[],,5,14.0,,1762394604,3,8yy2qkta,,,,,0
11,z1uo1zbt,SUB13,0,130,130,q,final,2025-11-06 01:31:29.475360,1,,,2827.0,2,,0.0,10,,13.2,[],,6,22.0,,1762394604,3,8yy2qkta,,,,,0
12,wg1nqswx,SUB11,0,130,130,q,final,2025-11-06 01:31:29.547112,1,,,1160.0,3,,0.0,6,,12.4,[],,5,14.0,,1762394604,3,8yy2qkta,,,,,0
13,eepb6w7q,SUB12,0,130,130,q,final,2025-11-06 01:31:29.556896,1,,,1420.0,1,,0.0,6,,16.6,[],,2,21.0,,1762394604,3,8yy2qkta,,,,,0
14,0bauq57s,SUB14,0,130,130,q,final,2025-11-06 01:31:29.574062,1,,,2840.0,1,,0.0,4,,15.6,[],,8,16.0,,1762394604,3,8yy2qkta,,,,,0
15,ornxmczo,SUB15,0,130,130,q,final,2025-11-06 01:31:29.853907,1,,,2060.0,3,,0.0,0,,13.6,[],,7,6.0,,1762394604,3,8yy2qkta,,,,,0
16,379licab,SUB18,0,130,130,q,final,2025-11-06 01:31:30.139676,1,,,2400.0,2,,0.0,0,,13.6,[],,7,6.0,,1762394604,3,8yy2qkta,,,,,0
17,rwc1c3rg,SUB19,0,130,130,q,final,2025-11-06 01:31:30.206056,1,,,2867.0,1,,0.0,2,,18.8,[],,1,18.0,,1762394604,3,8yy2qkta,,,,,0
18,ncdnrrmm,SUB17,0,130,130,q,final,2025-11-06 01:31:30.406648,1,,,1560.0,3,,0.0,3,,17.2,[],,3,17.0,,1762394604,3,8yy2qkta,,,,,0
19,lf91ato0,SUB21,0,130,130,q,final,2025-11-06 01:31:30.494635,1,,,1720.0,1,,0.0,2,,21.2,[],,6,22.0,,1762394604,3,8yy2qkta,,,,,0
20,swui1l6y,SUB20,0,130,130,q,final,2025-11-06 01:31:30.511201,1,,,1640.0,3,,0.0,10,,13.2,[],,6,22.0,,1762394604,3,8yy2qkta,,,,,0
21,msyjc2fc,SUB24,0,130,130,q,final,2025-11-06 01:31:30.525365,1,,,2627.0,3,,0.0,10,,10.8,[],,1,18.0,,1762394604,3,8yy2qkta,,,,,0
22,76jexyoe,SUB22,0,130,130,q,final,2025-11-06 01:31:30.637905,1,,,960.0,1,,0.0,6,,7.6,[],,7,6.0,,1762394604,3,8yy2qkta,,,,,0
23,cfv0a3xx,SUB23,0,130,130,q,final,2025-11-06 01:31:30.697856,1,,,2187.0,1,,0.0,8,,12.2,[],,3,17.0,,1762394604,3,8yy2qkta,,,,,0
24,aksu5ilz,SUB16,0,130,130,q,final,2025-11-06 01:31:31.918566,1,,,1200.0,2,,0.0,7,,11.4,[],,5,14.0,,1762394604,3,8yy2qkta,,,,,0
1,88gufc8l,SUB01,0,130,130,q,final,2025-11-06 01:31:28.212864,1,,,2467.0,3,,0.0,5,,15.2,[],,2,17.0,,1762394635,4,8yy2qkta,,,,,0
2,jbm8h5vu,SUB02,0,130,130,q,final,2025-11-06 01:31:28.240161,1,,,1540.0,3,,0.0,0,,14.8,[],,7,8.0,,1762394635,4,8yy2qkta,,,,,0
3,ty08ylcn,SUB03,0,130,130,q,final,2025-11-06 01:31:28.345249,1,,,1534.0,2,,0.0,0,,14.8,[],,7,8.0,,1762394635,4,8yy2qkta,,,,,0
4,rduddbrf,SUB04,0,130,130,q,final,2025-11-06 01:31:28.447463,1,,,1480.0,1,,0.0,3,,11.2,[],,4,7.0,,1762394635,4,8yy2qkta,,,,,0
5,ujhg4w5p,SUB05,0,130,130,q,final,2025-11-06 01:31:28.622685,1,,,1360.0,1,,0.0,1,,13.2,[],,8,7.0,,1762394636,4,8yy2qkta,,,,,0
6,s0nvo3n4,SUB06,0,130,130,q,final,2025-11-06 01:31:28.834126,1,,,1820.0,1,,0.0,10,,9.6,[],,1,16.0,,1762394635,4,8yy2qkta,,,,,0
7,m9gazhzn,SUB07,0,130,130,q,final,2025-11-06 01:31:28.910035,1,,,2187.0,3,,0.0,5,,9.2,[],,8,7.0,,1762394636,4,8yy2qkta,,,,,0
8,v73s3o41,SUB08,0,130,130,q,final,2025-11-06 01:31:28.944550,1,,,1980.0,2,,0.0,0,,16.0,[],,5,10.0,,1762394635,4,8yy2qkta,,,,,0
9,kmw1w1uf,SUB10,0,130,130,q,final,2025-11-06 01:31:29.075555,1,,,1660.0,3,,0.0,10,,6.0,[],,5,10.0,,1762394635,4,8yy2qkta,,,,,0
10,7h6bzfks,SUB09,0,130,130,q,final,2025-11-06 01:31:29.203249,1,,,2260.0,3,,0.0,1,,13.2,[],,4,7.0,,1762394635,4,8yy2qkta,,,,,0
11,z1uo1zbt,SUB13,0,130,130,q,final,2025-11-06 01:31:29.475360,1,,,2827.0,2,,0.0,0,,19.6,[],,1,16.0,,1762394635,4,8yy2qkta,,,,,0
12,wg1nqswx,SUB11,0,130,130,q,final,2025-11-06 01:31:29.547112,1,,,1160.0,2,,0.0,5,,15.2,[],,3,17.0,,1762394635,4,8yy2qkta,,,,,0
13,eepb6w7q,SUB12,0,130,130,q,final,2025-11-06 01:31:29.556896,1,,,1420.0,1,,0.0,7,,9.6,[],,6,11.0,,1762394635,4,8yy2qkta,,,,,0
14,0bauq57s,SUB14,0,130,130,q,final,2025-11-06 01:31:29.574062,1,,,2840.0,2,,0.0,3,,11.2,[],,4,7.0,,1762394635,4,8yy2qkta,,,,,0
15,ornxmczo,SUB15,0,130,130,q,final,2025-11-06 01:31:29.853907,1,,,2060.0,3,,0.0,5,,15.2,[],,3,17.0,,1762394635,4,8yy2qkta,,,,,0
16,379licab,SUB18,0,130,130,q,final,2025-11-06 01:31:30.139676,1,,,2400.0,1,,0.0,0,,16.0,[],,5,10.0,,1762394635,4,8yy2qkta,,,,,0
17,rwc1c3rg,SUB19,0,130,130,q,final,2025-11-06 01:31:30.206056,1,,,2867.0,2,,0.0,1,,13.2,[],,8,7.0,,1762394636,4,8yy2qkta,,,,,0
18,ncdnrrmm,SUB17,0,130,130,q,final,2025-11-06 01:31:30.406648,1,,,1560.0,3,,0.0,6,,13.6,[],,1,16.0,,1762394635,4,8yy2qkta,,,,,0
19,lf91ato0,SUB21,0,130,130,q,final,2025-11-06 01:31:30.494635,1,,,1720.0,1,,0.0,7,,13.2,[],,3,17.0,,1762394635,4,8yy2qkta,,,,,0
20,swui1l6y,SUB20,0,130,130,q,final,2025-11-06 01:31:30.511201,1,,,1640.0,3,,0.0,0,,16.6,[],,6,11.0,,1762394635,4,8yy2qkta,,,,,0
21,msyjc2fc,SUB24,0,130,130,q,final,2025-11-06 01:31:30.525365,1,,,2627.0,1,,0.0,5,,15.2,[],,2,17.0,,1762394635,4,8yy2qkta,,,,,0
22,76jexyoe,SUB22,0,130,130,q,final,2025-11-06 01:31:30.637905,1,,,960.0,2,,0.0,7,,13.2,[],,2,17.0,,1762394635,4,8yy2qkta,,,,,0
23,cfv0a3xx,SUB23,0,130,130,q,final,2025-11-06 01:31:30.697856,1,,,2187.0,1,,0.0,8,,6.8,[],,7,8.0,,1762394635,4,8yy2qkta,,,,,0
24,aksu5ilz,SUB16,0,130,130,q,final,2025-11-06 01:31:31.918566,1,,,1200.0,2,,0.0,4,,12.6,[],,6,11.0,,1762394635,4,8yy2qkta,,,,,0
1,88gufc8l,SUB01,0,130,130,q,final,2025-11-06 01:31:28.212864,1,,,2467.0,3,,0.0,5,,9.2,[],,2,7.0,,1762394654,5,8yy2qkta,,,,,0
2,jbm8h5vu,SUB02,0,130,130,q,final,2025-11-06 01:31:28.240161,1,,,1540.0,3,,0.0,0,,11.2,[],,3,2.0,,1762394655,5,8yy2qkta,,,,,0
3,ty08ylcn,SUB03,0,130,130,q,final,2025-11-06 01:31:28.345249,1,,,1534.0,2,,0.0,1,,10.2,[],,3,2.0,,1762394655,5,8yy2qkta,,,,,0
4,rduddbrf,SUB04,0,130,130,q,final,2025-11-06 01:31:28.447463,1,,,1480.0,1,,0.0,0,,16.6,[],,6,11.0,,1762394655,5,8yy2qkta,,,,,0
5,ujhg4w5p,SUB05,0,130,130,q,final,2025-11-06 01:31:28.622685,1,,,1360.0,3,,0.0,0,,17.2,[],,7,12.0,,1762394655,5,8yy2qkta,,,,,0
6,s0nvo3n4,SUB06,0,130,130,q,final,2025-11-06 01:31:28.834126,1,,,1820.0,3,,0.0,10,,6.6,[],,8,11.0,,1762394655,5,8yy2qkta,,,,,0
7,m9gazhzn,SUB07,0,130,130,q,final,2025-11-06 01:31:28.910035,1,,,2187.0,1,,0.0,3,,10.0,[],,4,5.0,,1762394655,5,8yy2qkta,,,,,0
8,v73s3o41,SUB08,0,130,130,q,final,2025-11-06 01:31:28.944550,1,,,1980.0,3,,0.0,0,,17.8,[],,1,13.0,,1762394655,5,8yy2qkta,,,,,0
9,kmw1w1uf,SUB10,0,130,130,q,final,2025-11-06 01:31:29.075555,1,,,1660.0,2,,0.0,10,,11.4,[],,5,19.0,,1762394655,5,8yy2qkta,,,,,0
10,7h6bzfks,SUB09,0,130,130,q,final,2025-11-06 01:31:29.203249,1,,,2260.0,1,,0.0,1,,10.2,[],,3,2.0,,1762394655,5,8yy2qkta,,,,,0
11,z1uo1zbt,SUB13,0,130,130,q,final,2025-11-06 01:31:29.475360,1,,,2827.0,2,,0.0,6,,11.8,[],,1,13.0,,1762394655,5,8yy2qkta,,,,,0
12,wg1nqswx,SUB11,0,130,130,q,final,2025-11-06 01:31:29.547112,1,,,1160.0,2,,0.0,5,,12.2,[],,7,12.0,,1762394655,5,8yy2qkta,,,,,0
13,eepb6w7q,SUB12,0,130,130,q,final,2025-11-06 01:31:29.556896,1,,,1420.0,1,,0.0,7,,10.2,[],,7,12.0,,1762394655,5,8yy2qkta,,,,,0
14,0bauq57s,SUB14,0,130,130,q,final,2025-11-06 01:31:29.574062,1,,,2840.0,2,,0.0,1,,13.2,[],,2,7.0,,1762394654,5,8yy2qkta,,,,,0
15,ornxmczo,SUB15,0,130,130,q,final,2025-11-06 01:31:29.853907,1,,,2060.0,2,,0.0,5,,11.6,[],,6,11.0,,1762394655,5,8yy2qkta,,,,,0
16,379licab,SUB18,0,130,130,q,final,2025-11-06 01:31:30.139676,1,,,2400.0,2,,0.0,0,,13.0,[],,4,5.0,,1762394655,5,8yy2qkta,,,,,0
17,rwc1c3rg,SUB19,0,130,130,q,final,2025-11-06 01:31:30.206056,1,,,2867.0,2,,0.0,1,,15.6,[],,8,11.0,,1762394655,5,8yy2qkta,,,,,0
18,ncdnrrmm,SUB17,0,130,130,q,final,2025-11-06 01:31:30.406648,1,,,1560.0,1,,0.0,3,,18.4,[],,5,19.0,,1762394655,5,8yy2qkta,,,,,0
19,lf91ato0,SUB21,0,130,130,q,final,2025-11-06 01:31:30.494635,1,,,1720.0,1,,0.0,1,,13.2,[],,2,7.0,,1762394654,5,8yy2qkta,,,,,0
20,swui1l6y,SUB20,0,130,130,q,final,2025-11-06 01:31:30.511201,1,,,1640.0,1,,0.0,7,,10.8,[],,1,13.0,,1762394655,5,8yy2qkta,,,,,0
21,msyjc2fc,SUB24,0,130,130,q,final,2025-11-06 01:31:30.525365,1,,,2627.0,3,,0.0,2,,11.0,[],,4,5.0,,1762394655,5,8yy2qkta,,,,,0
22,76jexyoe,SUB22,0,130,130,q,final,2025-11-06 01:31:30.637905,1,,,960.0,3,,0.0,6,,15.4,[],,5,19.0,,1762394655,5,8yy2qkta,,,,,0
23,cfv0a3xx,SUB23,0,130,130,q,final,2025-11-06 01:31:30.697856,1,,,2187.0,3,,0.0,6,,10.6,[],,6,11.0,,1762394655,5,8yy2qkta,,,,,0
24,aksu5ilz,SUB16,0,130,130,q,final,2025-11-06 01:31:31.918566,1,,,1200.0,1,,0.0,0,,16.6,[],,8,11.0,,1762394655,5,8yy2qkta,,,,,0
1,88gufc8l,SUB01,0,130,130,q,final,2025-11-06 01:31:28.212864,1,,,2467.0,2,,0.0,2,,13.4,[],,8,9.0,,1762394688,6,8yy2qkta,,,,,0
2,jbm8h5vu,SUB02,0,130,130,q,final,2025-11-06 01:31:28.240161,1,,,1540.0,3,,0.0,0,,14.2,[],,4,7.0,,1762394688,6,8yy2qkta,,,,,0
3,ty08ylcn,SUB03,0,130,130,q,final,2025-11-06 01:31:28.345249,1,,,1534.0,3,,0.0,0,,10.0,[],,5,0.0,,1762394688,6,8yy2qkta,,,,,0
4,rduddbrf,SUB04,0,130,130,q,final,2025-11-06 01:31:28.447463,1,,,1480.0,1,,0.0,0,,10.0,[],,5,0.0,,1762394688,6,8yy2qkta,,,,,0
5,ujhg4w5p,SUB05,0,130,130,q,final,2025-11-06 01:31:28.622685,1,,,1360.0,1,,0.0,3,,13.6,[],,2,11.0,,1762394688,6,8yy2qkta,,,,,0
6,s0nvo3n4,SUB06,0,130,130,q,final,2025-11-06 01:31:28.834126,1,,,1820.0,1,,0.0,10,,6.0,[],,7,10.0,,1762394688,6,8yy2qkta,,,,,0
7,m9gazhzn,SUB07,0,130,130,q,final,2025-11-06 01:31:28.910035,1,,,2187.0,2,,0.0,0,,16.0,[],,7,10.0,,1762394688,6,8yy2qkta,,,,,0
8,v73s3o41,SUB08,0,130,130,q,final,2025-11-06 01:31:28.944550,1,,,1980.0,3,,0.0,0,,16.0,[],,3,10.0,,1762394688,6,8yy2qkta,,,,,0
9,kmw1w1uf,SUB10,0,130,130,q,final,2025-11-06 01:31:29.075555,1,,,1660.0,2,,0.0,10,,12.0,[],,1,20.0,,1762394688,6,8yy2qkta,,,,,0
10,7h6bzfks,SUB09,0,130,130,q,final,2025-11-06 01:31:29.203249,1,,,2260.0,1,,0.0,2,,12.2,[],,4,7.0,,1762394688,6,8yy2qkta,,,,,0
11,z1uo1zbt,SUB13,0,130,130,q,final,2025-11-06 01:31:29.475360,1,,,2827.0,2,,0.0,0,,10.0,[],,5,0.0,,1762394688,6,8yy2qkta,,,,,0
12,wg1nqswx,SUB11,0,130,130,q,final,2025-11-06 01:31:29.547112,1,,,1160.0,1,,0.0,5,,10.4,[],,8,9.0,,1762394688,6,8yy2qkta,,,,,0
13,eepb6w7q,SUB12,0,130,130,q,final,2025-11-06 01:31:29.556896,1,,,1420.0,2,,0.0,5,,11.0,[],,6,10.0,,1762394688,6,8yy2qkta,,,,,0
14,0bauq57s,SUB14,0,130,130,q,final,2025-11-06 01:31:29.574062,1,,,2840.0,1,,0.0,4,,18.0,[],,1,20.0,,1762394688,6,8yy2qkta,,,,,0
15,ornxmczo,SUB15,0,130,130,q,final,2025-11-06 01:31:29.853907,1,,,2060.0,2,,0.0,0,,16.6,[],,2,11.0,,1762394688,6,8yy2qkta,,,,,0
16,379licab,SUB18,0,130,130,q,final,2025-11-06 01:31:30.139676,1,,,2400.0,3,,0.0,0,,16.0,[],,7,10.0,,1762394688,6,8yy2qkta,,,,,0
17,rwc1c3rg,SUB19,0,130,130,q,final,2025-11-06 01:31:30.206056,1,,,2867.0,3,,0.0,0,,16.0,[],,6,10.0,,1762394688,6,8yy2qkta,,,,,0
18,ncdnrrmm,SUB17,0,130,130,q,final,2025-11-06 01:31:30.406648,1,,,1560.0,2,,0.0,5,,9.2,[],,4,7.0,,1762394688,6,8yy2qkta,,,,,0
19,lf91ato0,SUB21,0,130,130,q,final,2025-11-06 01:31:30.494635,1,,,1720.0,3,,0.0,2,,13.4,[],,8,9.0,,1762394688,6,8yy2qkta,,,,,0
20,swui1l6y,SUB20,0,130,130,q,final,2025-11-06 01:31:30.511201,1,,,1640.0,2,,0.0,10,,6.0,[],,3,10.0,,1762394688,6,8yy2qkta,,,,,0
21,msyjc2fc,SUB24,0,130,130,q,final,2025-11-06 01:31:30.525365,1,,,2627.0,1,,0.0,0,,16.0,[],,3,10.0,,1762394688,6,8yy2qkta,,,,,0
22,76jexyoe,SUB22,0,130,130,q,final,2025-11-06 01:31:30.637905,1,,,960.0,1,,0.0,5,,11.0,[],,6,10.0,,1762394688,6,8yy2qkta,,,,,0
