participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.individual_choice,player.assigned_mpcr,player.round_payoff,player.round_data,player.chosen_round,group.id_in_subsession,group.total_contribution,group.individual_share,group.start_timestamp,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0i9y5oeh,SUB01,0,139,139,q,final,2025-11-10 04:29:28.662125,1,,,3067.0,3,,0.0,10,0.6,18.0,[],,1,30.0,,1762750938,1,fum4p2yc,,,,,0
2,h8szovpb,SUB02,0,139,139,q,final,2025-11-10 04:29:28.754286,1,,,2000.0,3,,0.0,10,0.6,18.0,[],,5,30.0,,1762750938,1,fum4p2yc,,,,,0
3,p4h3z53f,SUB03,0,139,139,q,final,2025-11-10 04:29:28.816224,1,,,2320.0,2,,0.0,7,0.15,7.05,[],,6,27.0,,1762750938,1,fum4p2yc,,,,,0
4,salpip5i,SUB04,0,139,139,q,final,2025-11-10 04:29:29.006944,1,,,2400.0,2,,0.0,10,0.6,18.0,[],,7,30.0,,1762750938,1,fum4p2yc,,,,,0
5,zmsk2ono,SUB06,0,139,139,q,final,2025-11-10 04:29:29.254493,1,,,3067.0,1,,0.0,10,0.6,18.0,[],,1,30.0,,1762750938,1,fum4p2yc,,,,,0
6,sf6felqz,SUB05,0,139,139,q,final,2025-11-10 04:29:29.265943,1,,,2000.0,2,,0.0,10,0.6,18.0,[],,5,30.0,,1762750938,1,fum4p2yc,,,,,0
7,zaxgyzmm,SUB07,0,139,139,q,final,2025-11-10 04:29:29.421262,1,,,3495.0,2,,0.0,10,0.825,22.275,[],,8,27.0,,1762750938,1,fum4p2yc,,,,,0
8,csbgjd4t,SUB08,0,139,139,q,final,2025-11-10 04:29:29.435223,1,,,2000.0,3,,0.0,10,0.6,18.0,[],,2,30.0,,1762750938,1,fum4p2yc,,,,,0
9,oyzp5bya,SUB10,0,139,139,q,final,2025-11-10 04:29:29.555448,1,,,2200.0,2,,0.0,10,0.6,18.0,[],,3,30.0,,1762750939,1,fum4p2yc,,,,,0
10,frmxaerj,SUB09,0,139,139,q,final,2025-11-10 04:29:29.595367,1,,,2840.0,2,,0.0,10,0.6,18.0,[],,1,30.0,,1762750938,1,fum4p2yc,,,,,0
11,4hzc9vr8,SUB11,0,139,139,q,final,2025-11-10 04:29:29.864178,1,,,2200.0,2,,0.0,10,0.6,18.0,[],,2,30.0,,1762750938,1,fum4p2yc,,,,,0
12,3g7rpip8,SUB13,0,139,139,q,final,2025-11-10 04:29:30.043026,1,,,2840.0,1,,0.0,10,0.6,18.0,[],,3,30.0,,1762750939,1,fum4p2yc,,,,,0
13,61jjcq45,SUB14,0,139,139,q,final,2025-11-10 04:29:30.108367,1,,,2397.0,1,,0.0,10,0.825,22.275,[],,6,27.0,,1762750938,1,fum4p2yc,,,,,0
14,4g29zv6j,SUB12,0,139,139,q,final,2025-11-10 04:29:30.123460,1,,,2160.0,1,,0.0,10,0.6,18.0,[],,4,30.0,,1762750938,1,fum4p2yc,,,,,0
15,wma2697u,SUB15,0,139,139,q,final,2025-11-10 04:29:30.221528,1,,,3067.0,3,,0.0,10,0.6,18.0,[],,7,30.0,,1762750938,1,fum4p2yc,,,,,0
16,gg3co7vo,SUB16,0,139,139,q,final,2025-11-10 04:29:30.498801,1,,,2000.0,1,,0.0,10,0.6,18.0,[],,5,30.0,,1762750938,1,fum4p2yc,,,,,0
17,qyo7zwo2,SUB17,0,139,139,q,final,2025-11-10 04:29:30.663388,1,,,2300.0,2,,0.0,10,0.6,18.0,[],,4,30.0,,1762750938,1,fum4p2yc,,,,,0
18,l5rkecu7,SUB18,0,139,139,q,final,2025-11-10 04:29:30.693265,1,,,2400.0,3,,0.0,10,0.825,22.275,[],,6,27.0,,1762750938,1,fum4p2yc,,,,,0
19,figjqw1y,SUB19,0,139,139,q,final,2025-11-10 04:29:30.776583,1,,,3067.0,1,,0.0,10,0.6,18.0,[],,2,30.0,,1762750938,1,fum4p2yc,,,,,0
20,cncqrf59,SUB21,0,139,139,q,final,2025-11-10 04:29:30.799530,1,,,2000.0,3,,0.0,10,0.825,22.275,[],,8,27.0,,1762750938,1,fum4p2yc,,,,,0
21,4fusfxvv,SUB20,0,139,139,q,final,2025-11-10 04:29:30.853095,1,,,3107.0,3,,0.0,10,0.6,18.0,[],,4,30.0,,1762750938,1,fum4p2yc,,,,,0
22,nj28ct4b,SUB22,0,139,139,q,final,2025-11-10 04:29:30.863073,1,,,2175.0,1,,0.0,7,0.15,7.05,[],,8,27.0,,1762750938,1,fum4p2yc,,,,,0
23,6l8e55sm,SUB24,0,139,139,q,final,2025-11-10 04:29:30.941251,1,,,3067.0,1,,0.0,10,0.6,18.0,[],,7,30.0,,1762750938,1,fum4p2yc,,,,,0
24,u1acs09w,SUB23,0,139,139,q,final,2025-11-10 04:29:30.961500,1,,,2000.0,3,,0.0,10,0.6,18.0,[],,3,30.0,,1762750939,1,fum4p2yc,,,,,0
1,0i9y5oeh,SUB01,0,139,139,q,final,2025-11-10 04:29:28.662125,1,,,3067.0,3,,0.0,10,0.6,18.0,[],,5,30.0,,1762751064,2,fum4p2yc,,,,,0
2,h8szovpb,SUB02,0,139,139,q,final,2025-11-10 04:29:28.754286,1,,,2000.0,3,,0.0,10,0.825,16.5,[],,8,20.0,,1762751064,2,fum4p2yc,,,,,0
3,p4h3z53f,SUB03,0,139,139,q,final,2025-11-10 04:29:28.816224,1,,,2320.0,3,,0.0,10,0.6,18.0,[],,6,30.0,,1762751064,2,fum4p2yc,,,,,0
4,salpip5i,SUB04,0,139,139,q,final,2025-11-10 04:29:29.006944,1,,,2400.0,2,,0.0,10,0.6,18.0,[],,5,30.0,,1762751064,2,fum4p2yc,,,,,0
5,zmsk2ono,SUB06,0,139,139,q,final,2025-11-10 04:29:29.254493,1,,,3067.0,1,,0.0,10,0.6,18.0,[],,2,30.0,,1762751064,2,fum4p2yc,,,,,0
6,sf6felqz,SUB05,0,139,139,q,final,2025-11-10 04:29:29.265943,1,,,2000.0,2,,0.0,10,0.6,18.0,[],,2,30.0,,1762751064,2,fum4p2yc,,,,,0
7,zaxgyzmm,SUB07,0,139,139,q,final,2025-11-10 04:29:29.421262,1,,,3495.0,2,,0.0,10,0.6,18.0,[],,1,30.0,,1762751064,2,fum4p2yc,,,,,0
8,csbgjd4t,SUB08,0,139,139,q,final,2025-11-10 04:29:29.435223,1,,,2000.0,2,,0.0,10,0.6,18.0,[],,7,30.0,,1762751064,2,fum4p2yc,,,,,0
9,oyzp5bya,SUB10,0,139,139,q,final,2025-11-10 04:29:29.555448,1,,,2200.0,1,,0.0,10,0.6,18.0,[],,6,30.0,,1762751064,2,fum4p2yc,,,,,0
10,frmxaerj,SUB09,0,139,139,q,final,2025-11-10 04:29:29.595367,1,,,2840.0,1,,0.0,10,0.825,16.5,[],,8,20.0,,1762751064,2,fum4p2yc,,,,,0
